,RepositoryName,RepositoryLanguage
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-ademamix,Python
50,ml-afv,Python
51,ml-agm,Python
52,ml-aim,Python
53,ml-all-pairs,Python
54,ml-ane-transformers,Python
55,ml-aspanformer,Python
56,ml-aura,Python
57,ml-autofocusformer,Python
58,ml-autofocusformer-segmentation,Python
59,ml-batchquant,Python
60,ml-behavioral-testing-for-mt,
61,ml-bilevel-train-dist,Python
62,ml-calibration,Jupyter Notebook
63,ml-capsules-inverted-attention-routing,Python
64,ml-cifar-10-faster,Python
65,ml-code-switched-speech-translation,Python
66,ml-codeswitching-translations,
67,ml-collegial-ensembles,Python
68,ml-compress-and-compare,Python
69,ml-core,Python
70,ml-covid-mobility,R
71,ml-cread,Python
72,ml-cvnets,Python
73,ml-cvpr2019-swd,Python
74,ml-dab,Python
75,ml-data-parameters,Python
76,ml-delphi,
77,ml-depth-pro,Python
78,ml-destseg,Python
79,ml-diffusion-alignment-gflownet,Python
80,ml-direct2.5,Python
81,ml-dms-dataset,Python
82,ml-dprecs,Jupyter Notebook
83,ml-dr,Python
84,ml-duet,Python
85,ml-entity-deduction-arena,Python
86,ml-entropy-reconstruction,Python
87,ml-envmapnet,Python
88,ml-equivariant-neural-rendering,Jupyter Notebook
89,ml-facelit,Python
90,ml-famae,Python
91,ml-fastvit,Python
92,ml-fct,Python
93,ml-ferret,Python
94,ml-finerecon,Python
95,ml-flair,Jupyter Notebook
96,ml-gaudi,
97,ml-gendered-translation,Ruby
98,ml-gmpi,Python
99,ml-gsn,Python
100,ml-hd-gist,Python
101,ml-heart-rate-models,Python
102,ml-hierarchical-confusion-matrix,TypeScript
103,ml-hugs,Python
104,ml-hypercloning,Python
105,ml-hypersim,Python
106,ml-interspeech2022-phi_rtn,
107,ml-jointnet,Python
108,ml-key-retrieval-code-tasks,Python
109,ml-keyframer,JavaScript
110,ml-kg-mt,Python
111,ml-kge,Python
112,ml-knowledge-conflicts,Python
113,ml-live-pose,
114,ml-llarp,Python
115,ml-lucid-datagen,Python
116,ml-mad-bench,Jupyter Notebook
117,ml-mcf,Python
118,ml-mdm,Python
119,ml-mgie,Python
120,ml-mia-bench,Jupyter Notebook
121,ml-MixupMP,Python
122,ml-mkqa,Python
123,ml-mobileclip,Python
124,ml-mobileone,Swift
125,ml-mofi,Python
126,ml-multiple-futures-prediction,Python
127,ml-mycelium,JavaScript
128,ml-ncg,Python
129,ml-negative-sampling,Python
130,ml-neilf,Python
131,ml-neilfpp,Python
132,ml-neuman,Python
133,ml-no-token-left-behind,Jupyter Notebook
134,ml-np-rasp,Python
135,ml-nvas3d,Python
136,ml-ogen,Python
137,ml-pgdvs,Python
138,ml-planner,Python
139,ml-pointconvformer,Python
140,ml-pointersect,Python
141,ml-probabilistic-attention,Python
142,ml-projunit,Python
143,ml-qrecc,Python
144,ml-quant,Python
145,ml-recurrent-drafter,Python
146,ml-reed,Python
147,ml-rlgrad,Python
148,ml-robust-expert-augmentations,Python
149,ml-rpm-bench,Python
150,ml-sad,Python
151,ml-sampleplan,Python
152,ml-selfcond,Python
153,ml-shuffling-amplification,Python
154,ml-sigma-reparam,Python
155,ml-sigmoid-attention,Python
156,ml-slowfast-llava,Python
157,ml-spatial-librispeech,
158,ml-spin,Python
159,ml-stable-diffusion,Python
160,ml-stabledreamer,
161,ml-stuttering-events-dataset,Python
162,ml-superposition-prompting,Python
163,ml-symphony,Svelte
164,ml-tic-clip,Python
165,ml-toad,Python
166,ml-tract,Python
167,ml-transcript-translation-consistency-ratings,
168,ml-translate-vis,TypeScript
169,ml-tree-dst,Python
170,ml-tune-mode-convbn,Python
171,ml-tweak,Python
172,ml-upscale,Jupyter Notebook
173,ml-uwac,Python
174,ml-veclip,Jupyter Notebook
175,ml-vfi-smiff,Python
176,ml-vfm-kt,
177,ml-vision-transformers-ane,Python
178,music-feed-examples,Java
179,openjdk,Java
180,password-manager-resources,JavaScript
181,pfl-research,Jupyter Notebook
182,pkl,Java
183,pkl-evolution,
184,pkl-go,Go
185,pkl-go-examples,Go
186,pkl-intellij,Kotlin
187,pkl-jvm-examples,Groovy
188,pkl-k8s,Pkl
189,pkl-k8s-examples,
190,pkl-lang.org,JavaScript
191,pkl-lsp,Kotlin
192,pkl-neovim,Scheme
193,pkl-package-docs,Kotlin
194,pkl-pantry,Pkl
195,pkl-project-commons,
196,pkl-spring,Java
197,pkl-swift,Swift
198,pkl-swift-examples,Swift
199,pkl-vscode,TypeScript
200,pkl.tmbundle,
201,pytorch-speech-features,Python
202,rules_pkl,Starlark
203,sample-backyard-birds,Swift
204,sample-cloudkit-coredatasync,Swift
205,sample-cloudkit-encryption,Swift
206,sample-cloudkit-privatedb,Swift
207,sample-cloudkit-privatedb-sync,Swift
208,sample-cloudkit-queries,Swift
209,sample-cloudkit-sharing,Swift
210,sample-cloudkit-sync-engine,Swift
211,sample-cloudkit-tooling,JavaScript
212,sample-cloudkit-zonesharing,Swift
213,sample-food-truck,Swift
214,security-pcc,Swift
215,servicetalk,Java
216,swift-3-api-guidelines-review,Swift
217,swift-algorithms,Swift
218,swift-aoc-starter-example,Swift
219,swift-argument-parser,Swift
220,swift-asn1,Swift
221,swift-async-algorithms,Swift
222,swift-async-dns-resolver,Swift
223,swift-atomics,Swift
224,swift-cassandra-client,Swift
225,swift-certificates,Swift
226,swift-clang,C++
227,swift-clang-tools-extra,C++
228,swift-cluster-membership,Swift
229,swift-cmake-examples,CMake
230,swift-collections,Swift
231,swift-collections-benchmark,Swift
232,swift-compiler-rt,C
233,swift-container-plugin,Swift
234,swift-crypto,C
235,swift-distributed-actors,Swift
236,swift-distributed-tracing,Swift
237,swift-distributed-tracing-baggage-core,Swift
238,swift-distributed-tracing-extras,Swift
239,swift-embedded-examples,Swift
240,swift-evolution-staging,Swift
241,swift-for-wasm-examples,Swift
242,swift-getting-started-cli,Swift
243,swift-getting-started-package-library,Swift
244,swift-homomorphic-encryption,Swift
245,swift-homomorphic-encryption-protobuf,
246,swift-http-structured-headers,Swift
247,swift-http-types,Swift
248,swift-internals,HTML
249,swift-issues,
250,swift-libcxx,C++
251,swift-llbuild2,Swift
252,swift-lldb,C++
253,swift-llvm,LLVM
254,swift-log,Swift
255,swift-matter-examples,Swift
256,swift-metrics,Swift
257,swift-metrics-extras,Swift
258,swift-migration-guide,Markdown
259,swift-mmio,Swift
260,swift-nio,Swift
261,swift-nio-examples,Swift
262,swift-nio-extras,Swift
263,swift-nio-http2,Swift
264,swift-nio-imap,Swift
265,swift-nio-nghttp2-support,Swift
266,swift-nio-oblivious-http,Swift
267,swift-nio-ssh,Swift
268,swift-nio-ssl,C
269,swift-nio-ssl-support,Swift
